subgroup,comparison,n,match_n,match_rate,match_ci_low,match_ci_high,under_n,under_rate,under_ci_low,under_ci_high,over_n,over_rate,over_ci_low,over_ci_high,discordant_n,direction_p,direction_p_holm
behavioral_health_28_35,GPT vs Gold,8,3,0.375,0.13684428582359737,0.6942576053973728,3,0.375,0.13684428582359737,0.6942576053973728,2,0.25,0.071479212752109,0.5907245696898311,5,1.0,1.0
behavioral_health_28_35,GPT vs Nurse,8,3,0.375,0.13684428582359737,0.6942576053973728,3,0.375,0.13684428582359737,0.6942576053973728,2,0.25,0.071479212752109,0.5907245696898311,5,1.0,1.0
behavioral_health_28_35,Nurse vs Gold,8,8,1.0,0.6755924351161198,1.0,0,0.0,0.0,0.32440756488388034,0,0.0,0.0,0.32440756488388034,0,,
