model,comparison,behavioral_match_n,behavioral_total,behavioral_match_rate,non_behavioral_match_n,non_behavioral_total,non_behavioral_match_rate,odds_ratio,fisher_p,fisher_p_holm
GPT Natural,vs Gold,3,8,0.375,20,31,0.6451612903225806,0.33,0.23487788812866214,0.7046336643859864
GPT Natural,vs Nurse,3,8,0.375,20,31,0.6451612903225806,0.33,0.23487788812866214,0.7046336643859864
GPTH Multiturn,vs Gold,4,8,0.5,19,31,0.6129032258064516,0.631578947368421,0.6937208701914583,0.7046336643859864
GPTH Multiturn,vs Nurse,2,8,0.25,19,31,0.6129032258064516,0.21052631578947367,0.11226611226611227,0.4490644490644491
Reference Standards,Nurse vs Gold,8,8,1.0,17,31,0.5483870967741935,inf,0.033666316948050695,0.16833158474025348
