subgroup,model,comparison,n,match_n,match_rate,match_ci_low,match_ci_high,under_n,under_rate,under_ci_low,under_ci_high,over_n,over_rate,over_ci_low,over_ci_high,discordant_n,direction_p,direction_p_holm
overall,GPT Natural,vs Gold,39,23,0.5897435897435898,0.4341862288289696,0.7292068999927482,9,0.23076923076923078,0.12645804125142845,0.38336257228341764,7,0.1794871794871795,0.08977265473219112,0.3266804566188162,16,0.803619384765625,1.0
overall,GPT Natural,vs Nurse,39,23,0.5897435897435898,0.4341862288289696,0.7292068999927482,10,0.2564102564102564,0.14568780540992576,0.4108165592168397,6,0.15384615384615385,0.07247472376982099,0.29729463648926696,16,0.454498291015625,1.0
overall,GPTH Multiturn,vs Gold,39,23,0.5897435897435898,0.4341862288289696,0.7292068999927482,5,0.1282051282051282,0.056028175369713926,0.26705743379745456,11,0.28205128205128205,0.16543492088847672,0.4377531948302082,16,0.210113525390625,1.0
overall,GPTH Multiturn,vs Nurse,39,21,0.5384615384615384,0.38569448270515755,0.6843311439327215,6,0.15384615384615385,0.07247472376982099,0.29729463648926696,12,0.3076923076923077,0.18565932306911134,0.464212543741493,18,0.237884521484375,1.0
overall,Reference Standards,Nurse vs Gold,39,25,0.6410256410256411,0.48418148559548546,0.7725791454100713,8,0.20512820512820512,0.10779718230710376,0.3553396801358229,6,0.15384615384615385,0.07247472376982099,0.29729463648926696,14,0.79052734375,1.0
